year,usd,fx_rate,aud
1969,0.4234,1.12,0.47
1970,0.5378,1.12,0.60
1971,0.4487,1.14,0.51
1972,0.5145,1.17,0.60
1973,0.6615,1.33,0.88
1974,0.6930,1.38,0.96
1975,0.7858,1.32,1.04
1976,1.4272,1.25,1.78
1977,2.4011,1.15,2.76
1978,1.6548,1.14,1.89
1979,1.7463,1.12,1.96
1980,1.6427,1.14,1.87
1981,1.2717,1.16,1.47
1982,1.4043,1.02,1.43
1983,1.3331,1.10,1.47
1984,1.4548,1.14,1.66
1985,1.4208,1.43,2.03
1986,2.0103,1.50,3.02
1987,1.0898,1.43,1.56
1988,1.2077,1.28,1.55
1989,1.0420,1.26,1.31
1990,0.8072,1.28,1.03
1991,0.7071,1.28,0.91
1992,0.4945,1.36,0.67
1993,0.5892,1.47,0.87
1994,1.3796,1.37,1.89
1995,1.4468,1.35,1.95
1996,1.2853,1.28,1.65
1997,2.0471,1.35,2.76
1998,1.3798,1.59,2.19
1999,1.0427,1.55,1.62
2000,0.9194,1.72,1.58
2001,0.5477,1.93,1.06
2002,0.4503,1.84,0.83
2003,0.5078,1.54,0.78
2004,0.6827,1.36,0.93
2005,1.0141,1.31,1.33
2006,1.0377,1.33,1.38
2007,1.1179,1.20,1.34
2008,1.2654,1.19,1.51
2009,1.1518,1.28,1.47
2010,1.5360,1.09,1.67
2011,2.4751,0.97,2.40
2012,1.7498,0.97,1.70
2013,1.2258,1.04,1.27
2014,1.7188,1.11,1.91
2015,1.3243,1.33,1.76
2016,1.3751,1.34,1.84
2017,1.3404,1.30,1.74
2018,1.1360,1.34,1.52
2019,1.0182,1.44,1.47
2020,1.1138,1.45,1.62
2021,1.6933,1.33,2.25
2022,2.1443,1.44,3.09
2023,1.7006,1.50,2.55
2024,2.3386,1.53,3.58
2025,3.6701,1.55,5.69
2026,3.0417,1.40,4.26
