"Time","coffee","cafe"
"2004-01-01",18,22
"2004-02-01",18,21
"2004-03-01",18,19
"2004-04-01",18,21
"2004-05-01",19,21
"2004-06-01",19,21
"2004-07-01",21,23
"2004-08-01",20,21
"2004-09-01",18,21
"2004-10-01",19,21
"2004-11-01",19,23
"2004-12-01",18,23
"2005-01-01",17,24
"2005-02-01",18,22
"2005-03-01",18,22
"2005-04-01",19,24
"2005-05-01",21,23
"2005-06-01",19,23
"2005-07-01",28,26
"2005-08-01",23,25
"2005-09-01",20,25
"2005-10-01",19,26
"2005-11-01",18,27
"2005-12-01",19,26
"2006-01-01",18,26
"2006-02-01",19,26
"2006-03-01",18,25
"2006-04-01",19,26
"2006-05-01",20,27
"2006-06-01",20,25
"2006-07-01",21,26
"2006-08-01",20,27
"2006-09-01",18,26
"2006-10-01",18,28
"2006-11-01",18,29
"2006-12-01",17,27
"2007-01-01",17,30
"2007-02-01",18,28
"2007-03-01",17,29
"2007-04-01",19,28
"2007-05-01",18,32
"2007-06-01",18,31
"2007-07-01",20,30
"2007-08-01",18,33
"2007-09-01",18,31
"2007-10-01",17,33
"2007-11-01",17,33
"2007-12-01",17,33
"2008-01-01",17,33
"2008-02-01",19,35
"2008-03-01",18,31
"2008-04-01",19,34
"2008-05-01",20,36
"2008-06-01",19,34
"2008-07-01",20,35
"2008-08-01",19,34
"2008-09-01",19,36
"2008-10-01",17,35
"2008-11-01",17,34
"2008-12-01",19,37
"2009-01-01",18,36
"2009-02-01",18,35
"2009-03-01",19,34
"2009-04-01",19,35
"2009-05-01",24,39
"2009-06-01",22,36
"2009-07-01",25,39
"2009-08-01",24,39
"2009-09-01",23,40
"2009-10-01",22,42
"2009-11-01",23,42
"2009-12-01",23,44
"2010-01-01",23,43
"2010-02-01",23,45
"2010-03-01",23,41
"2010-04-01",23,42
"2010-05-01",26,41
"2010-06-01",28,41
"2010-07-01",29,46
"2010-08-01",29,44
"2010-09-01",26,45
"2010-10-01",25,43
"2010-11-01",25,43
"2010-12-01",26,47
"2011-01-01",24,47
"2011-02-01",25,48
"2011-03-01",25,48
"2011-04-01",27,50
